lr,0.000192,
a,0.37848708,
c,0.18036804,
;,8790.319424482333,
+,0.0,
<,1.8496222222222223,
>,0.0,
ENTR,0.001,
REW,-0.2636666666666666,
lr,0.000192,
a,0.33954257,
c,0.18288146,
;,8487.878643064883,
+,0.0,
<,1.783511111111111,
>,0.0,
ENTR,0.001,
REW,-0.10083333333333332,
lr,0.000192,
a,0.5688749,
c,0.073185794,
;,8319.883582837194,
+,0.0,
<,1.6826666666666668,
>,0.0,
ENTR,0.001,
REW,0.16550000000000017,
lr,0.000192,
a,-0.24605638,
c,0.19921254,
;,8424.403558713188,
+,0.0,
<,1.722511111111111,
>,0.0,
ENTR,0.001,
REW,0.09833333333333334,
lr,0.000192,
a,-0.34417453,
c,0.1978668,
;,8558.730752642454,
+,0.0,
<,1.8218666666666667,
>,0.0,
ENTR,0.001,
REW,-0.00033333333333326887,
lr,0.000192,
a,-0.4975283,
c,0.1805451,
;,8130.778538881464,
+,0.0,
<,1.5577333333333334,
>,0.0,
ENTR,0.001,
REW,0.33199999999999996,
lr,0.000192,
MAX REWD: 0.33199999999999996 REWD_ID: 67,
a,0.20359074,
c,0.11392043,
;,8060.1103160266175,
+,0.0,
<,1.7338222222222222,
>,0.0,
ENTR,0.001,
REW,0.26333333333333336,
lr,0.000192,
a,0.09094586,
